Year,Month,Variable,101,102
1934,5,precip,42.431442,42.431442
1934,6,precip,92.19165,92.19165
1934,7,precip,69.284878,69.284878
1934,8,precip,61.372177,61.372177
1934,9,precip,73.866646,73.866646
1934,10,precip,79.212494,79.212494
1934,11,precip,36.629961,36.629961
1934,12,precip,33.62705,33.62705
1935,1,precip,44.444656,44.444656
1935,2,precip,14.197822,14.197822
1935,3,precip,52.46791,52.46791
1935,4,precip,54.028244,54.028244
1935,5,precip,56.911766,56.911766
1935,6,precip,103.788506,103.788506
1935,7,precip,161.31898,161.31898
1935,8,precip,132.12031,132.12031
1935,9,precip,55.585495,55.585495
1935,10,precip,71.658306,71.658306
1935,11,precip,36.74363,36.74363
1935,12,precip,23.840722,23.840722
1936,1,precip,28.959126,28.959126
1936,2,precip,26.111923,26.111923
1936,3,precip,46.53256,46.53256
1936,4,precip,42.05273,42.05273
1936,5,precip,84.24469,84.24469
1936,6,precip,48.6075,48.6075
1936,7,precip,40.171259,40.171259
1936,8,precip,75.730995,75.730995
1936,9,precip,57.875473,57.875473
1936,10,precip,31.461357,31.461357
1936,11,precip,38.704119,38.704119
1936,12,precip,62.876713,62.876713
1937,1,precip,41.026037,41.026037
1937,2,precip,36.65183,36.65183
1937,3,precip,15.881701,15.881701
1937,4,precip,84.64,84.64
1937,5,precip,104.406425,104.406425
1937,6,precip,55.699818,55.699818
1937,7,precip,97.89072,97.89072
1937,8,precip,110.966095,110.966095
1937,9,precip,104.5016,104.5016
1937,10,precip,31.317078,31.317078
1937,11,precip,34.921986,34.921986
1937,12,precip,27.025747,27.025747
1938,1,precip,27.314209,27.314209
1938,2,precip,23.083612,23.083612
1938,3,precip,43.389664,43.389664
1938,4,precip,99.61996,99.61996
1938,5,precip,123.569885,123.569885
1938,6,precip,71.919773,71.919773
1938,7,precip,64.07468,64.07468
1938,8,precip,70.90664,70.90664
1938,9,precip,52.935688,52.935688
1938,10,precip,24.170962,24.170962
1938,11,precip,72.482567,72.482567
1938,12,precip,25.13456,25.13456
1939,1,precip,45.984905,45.984905
1939,2,precip,51.2361,51.2361
1939,3,precip,30.168116,30.168116
1939,4,precip,29.831074,29.831074
1939,5,precip,72.676414,72.676414
1939,6,precip,130.739235,130.739235
1939,7,precip,51.124958,51.124958
1939,8,precip,153.31853,153.31853
1939,9,precip,44.73682,44.73682
1939,10,precip,59.30192,59.30192
1939,11,precip,11.8891846,11.8891846
1939,12,precip,16.7839327,16.7839327
1940,1,precip,17.4165716,17.4165716
1940,2,precip,31.437176,31.437176
1940,3,precip,36.96709,36.96709
1940,4,precip,92.58946,92.58946
1940,5,precip,67.667767,67.667767
1940,6,precip,71.586277,71.586277
1940,7,precip,115.702736,115.702736
1940,8,precip,65.99195,65.99195
1940,9,precip,59.72539,59.72539
